5000;0;0;0;0;416;561
7500;0;0;0;0;696;841
10000;0;0;0;0;977;1122
12500;0;0;0;0;1258;1403
15000;190;0;0;190;1538;1905
17500;601;239;0;601;2395;2830
20000;1131;686;0;1131;3363;3799
22500;1646;1187;0;1646;4239;4674
25000;2175;1702;0;2175;5108;5472
27500;2723;2235;272;2723;5840;6216
30000;3288;2786;662;3288;6602;6996
32500;3871;3355;1094;3871;7400;7812
35000;4472;3942;1536;4472;8232;8663
37500;5091;4547;2020;5091;9097;9532
40000;5727;5170;2522;5727;9966;10401
42500;6382;5811;3034;6382;10835;1270
45000;7054;6470;3554;7054;11704;12139
47500;7745;7147;4084;7745;12573;13008
50000;8453;7841;4622;8453;13442;13877
52500;9179;8554;5168;9179;14311;14746
55000;9923;9285;5724;9923;15180;15615
57500;10685;10034;6290;10685;16049;16484
60000;11534;10868;6916;11534;16995;17430
62500;12426;11742;7566;12426;17963;18398
65000;13339;12639;8228;13339;18931;19366
67500;14275;13557;8902;14275;19899;20334
70000;15223;14498;9586;15233;20867;21302
